,value
0,123.60959221275458
1,119.7544299330557
2,117.80249542428272
3,117.4497910537192
4,119.17711880472224
5,119.21060836477326
6,119.25207405093671
7,121.51465450345005
8,125.59518134768308
9,132.4528135438751
10,135.01662187247328
11,138.7692036632153
12,136.48702715559233
13,132.348819282907
14,132.53174991330977
15,133.50510599528386
16,135.71741976034116
17,134.80615451409207
18,138.27049751437133
19,140.31401690048096
20,135.95150843112975
21,135.51790000588542
22,130.63278107542473
23,122.82696183054068
