hour,pressure_avg,sensor
0,4.3888346667,Sensor-1
1,4.5228797143,Sensor-1
2,4.5694986667,Sensor-1
3,4.5149741667,Sensor-1
4,4.6358235,Sensor-1
5,4.6208844286,Sensor-1
6,4.3815106667,Sensor-1
7,4.0222165,Sensor-1
8,4.3415178571,Sensor-1
9,4.0873211667,Sensor-1
10,5.1013185,Sensor-1
11,5.1228841667,Sensor-1
12,5.3177898333,Sensor-1
13,5.3581891429,Sensor-1
14,5.348714,Sensor-1
15,5.312093,Sensor-1
16,5.246582,Sensor-1
17,5.2884928333,Sensor-1
18,5.3575302222,Sensor-1
19,5.3658041667,Sensor-1
20,5.4138183333,Sensor-1
21,5.3560383333,Sensor-1
22,5.5399578333,Sensor-1
23,5.605469,Sensor-1
0,6.0880533333,Sensor-2
1,6.1250813333,Sensor-2
2,6.1368815,Sensor-2
3,6.1071776667,Sensor-2
4,6.2288411667,Sensor-2
5,6.1600748333,Sensor-2
6,6.0030111667,Sensor-2
7,5.6929523333,Sensor-2
8,5.9183756667,Sensor-2
9,5.9065756667,Sensor-2
10,6.1942545,Sensor-2
11,6.2805175,Sensor-2
12,6.4241536667,Sensor-2
13,6.5026855,Sensor-2
14,6.4469403333,Sensor-2
15,6.5445963333,Sensor-2
16,6.3838703333,Sensor-2
17,6.4607748333,Sensor-2
18,6.4624023333,Sensor-2
19,6.4900715,Sensor-2
20,6.5600586667,Sensor-2
21,6.5152995,Sensor-2
22,6.673177,Sensor-2
23,6.7871095,Sensor-2
0,4.1927085,Sensor-3
1,4.2578123333,Sensor-3
2,4.2789711667,Sensor-3
3,4.2537435,Sensor-3
4,4.3428548333,Sensor-3
5,4.2712403333,Sensor-3
6,4.0897625,Sensor-3
7,3.7434896667,Sensor-3
8,4.0173338333,Sensor-3
9,3.9990235,Sensor-3
10,4.3111166667,Sensor-3
11,4.3888345,Sensor-3
12,4.5336911667,Sensor-3
13,4.6801756667,Sensor-3
14,4.4970703333,Sensor-3
15,4.6675618333,Sensor-3
16,4.5377603333,Sensor-3
17,4.6883138333,Sensor-3
18,4.7460938333,Sensor-3
19,4.753418,Sensor-3
20,4.881185,Sensor-3
21,4.8840331667,Sensor-3
22,5.050049,Sensor-3
23,5.1041666667,Sensor-3
0,5.3035481667,Sensor-4
1,5.3780108333,Sensor-4
2,5.3788248333,Sensor-4
3,5.3898113333,Sensor-4
4,5.4964193333,Sensor-4
