,value
1,156.08795468184366
2,155.05670233331782
3,154.07668184374484
4,158.07712067644846
5,155.74432004716536
6,157.07628856093416
7,164.47070312167259
8,177.5205699532408
9,174.2859169883903
10,174.12252050613992
11,178.91891414365602
12,176.69978696150375
13,174.29965436485782
14,173.89385828986164
15,173.235488394498
16,175.59209902209074
17,176.83969413472022
18,185.3838638292245
19,189.56695342784496
20,192.43329590257508
21,189.67361698426853
22,181.27236178935814
23,175.3894481550671
24,172.61108040293695
