hour,pressure_avg,sensor
1,5.1668296667,Sensor-1
2,5.0191243333,Sensor-1
3,5.4386395000,Sensor-1
4,5.4178875000,Sensor-1
5,5.0105796667,Sensor-1
6,5.0952148333,Sensor-1
7,5.2884926667,Sensor-1
8,5.4032390000,Sensor-1
9,5.3120931667,Sensor-1
10,5.0638836667,Sensor-1
11,5.3995770000,Sensor-1
12,5.1656086667,Sensor-1
13,5.4166666667,Sensor-1
14,5.0443521667,Sensor-1
15,5.0569663333,Sensor-1
16,5.3019206667,Sensor-1
17,5.2229816667,Sensor-1
18,5.1595053333,Sensor-1
19,5.0028481667,Sensor-1
20,4.9759928333,Sensor-1
21,5.0024413333,Sensor-1
22,5.0935873333,Sensor-1
23,4.9930826667,Sensor-1
24,5.3621418333,Sensor-1
1,6.7777506667,Sensor-2
2,6.3985188333,Sensor-2
3,6.4070640000,Sensor-2
4,6.4648436667,Sensor-2
5,6.6687013333,Sensor-2
6,6.4363606667,Sensor-2
7,6.5474446667,Sensor-2
8,6.4656576667,Sensor-2
9,6.3700360000,Sensor-2
10,6.4811198333,Sensor-2
11,6.4432778333,Sensor-2
12,6.6491698333,Sensor-2
13,6.3618978333,Sensor-2
14,6.4038088333,Sensor-2
15,6.7488606667,Sensor-2
16,6.7407225000,Sensor-2
17,6.6084800000,Sensor-2
18,6.6719563333,Sensor-2
19,6.5364581667,Sensor-2
20,6.7736815000,Sensor-2
21,6.5303548333,Sensor-2
22,6.7358398333,Sensor-2
23,6.5669760000,Sensor-2
24,6.7366536667,Sensor-2
1,4.9051920000,Sensor-3
2,5.0252280000,Sensor-3
3,5.1338701667,Sensor-3
4,4.9702961667,Sensor-3
5,5.1114908333,Sensor-3
6,4.8075360000,Sensor-3
7,5.2380371667,Sensor-3
8,4.8640951667,Sensor-3
9,5.0142416667,Sensor-3
10,5.1932780000,Sensor-3
11,4.7941081667,Sensor-3
12,5.1558431667,Sensor-3
13,4.8783365000,Sensor-3
14,5.1497396667,Sensor-3
15,4.8844401667,Sensor-3
16,4.7969565000,Sensor-3
17,4.9877930000,Sensor-3
18,4.7493490000,Sensor-3
19,5.1131186667,Sensor-3
20,4.8978678333,Sensor-3
21,5.0398763333,Sensor-3
22,5.2058920000,Sensor-3
23,4.7159830000,Sensor-3
24,4.8372395000,Sensor-3
1,5.9356690000,Sensor-4
2,5.7893880000,Sensor-4
3,5.7661948333,Sensor-4
4,5.9191895000,Sensor-4
5,5.9785971667,Sensor-4
6,5.7771810000,Sensor-4
7,5.8353678333,Sensor-4
8,5.8646646667,Sensor-4
9,5.8036295000,Sensor-4
10,5.8374023333,Sensor-4
11,5.6746420000,Sensor-4
12,5.7124836667,Sensor-4
13,6.1063640000,Sensor-4
14,6.0770671667,Sensor-4
15,5.8504233333,Sensor-4
16,6.1039226667,Sensor-4
17,5.7617188333,Sensor-4
18,6.0766600000,Sensor-4
19,6.1140951667,Sensor-4
20,5.9879558333,Sensor-4
21,5.6917318333,Sensor-4
22,5.7377116667,Sensor-4
23,6.0333255000,Sensor-4
24,6.0681155000,Sensor-4
1,5.4459635000,Sensor-5
2,5.6982423333,Sensor-5
3,5.6180826667,Sensor-5
4,5.4882811667,Sensor-5
5,5.6579590000,Sensor-5
6,5.5318196667,Sensor-5
7,5.6819660000,Sensor-5
8,5.6241861667,Sensor-5
9,5.4895021667,Sensor-5
10,5.3820800000,Sensor-5
11,5.6799316667,Sensor-5
12,5.6905113333,Sensor-5
13,5.4679363333,Sensor-5
14,5.6205241667,Sensor-5
15,5.4479981667,Sensor-5
16,5.6193033333,Sensor-5
17,5.4305011667,Sensor-5
18,5.4239910000,Sensor-5
19,5.4838053333,Sensor-5
20,5.4642741667,Sensor-5
21,5.4223631667,Sensor-5
22,5.4121906667,Sensor-5
23,5.4634603333,Sensor-5
24,5.5566408333,Sensor-5
1,5.186816907789146,Sensor-6
2,4.9600615999522555,Sensor-6
3,4.863077774540866,Sensor-6
4,4.921093790385248,Sensor-6
5,4.977678136780977,Sensor-6
6,4.919763316386781,Sensor-6
7,4.999314363911635,Sensor-6
8,5.221772090080292,Sensor-6
9,4.824011747262678,Sensor-6
10,4.781496563250352,Sensor-6
11,4.828650258500174,Sensor-6
12,4.809245690079358,Sensor-6
13,4.858468647485946,Sensor-6
14,5.192375383549556,Sensor-6
15,4.890506763361251,Sensor-6
16,4.752033020555558,Sensor-6
17,5.181328205802454,Sensor-6
18,4.847288067508818,Sensor-6
19,5.204980633898093,Sensor-6
20,4.80139556250627,Sensor-6
21,5.136051465070009,Sensor-6
22,5.228063487575909,Sensor-6
23,5.116059016020139,Sensor-6
24,5.179579632778546,Sensor-6
25,5.100544160172586,Sensor-6
1,5.1516385556,Sensor-7
2,5.1660156250,Sensor-7
3,5.2368160000,Sensor-7
1,5.3222655000,Sensor-8
2,5.3889975000,Sensor-8
3,5.4337565000,Sensor-8
4,5.4093425000,Sensor-8
5,5.4366048333,Sensor-8
6,5.4394531667,Sensor-8
7,5.4394531667,Sensor-8
8,5.3861490000,Sensor-8
9,5.2840170000,Sensor-8
10,5.2335613333,Sensor-8
11,5.2421063333,Sensor-8
12,5.2693686667,Sensor-8
13,5.2278646667,Sensor-8
14,5.2254231667,Sensor-8
15,5.2799476667,Sensor-8
16,5.3133138333,Sensor-8
17,5.2697753333,Sensor-8
18,5.2534993333,Sensor-8
19,5.2087401667,Sensor-8
20,5.2128093333,Sensor-8
21,5.2661135000,Sensor-8
22,5.3011068333,Sensor-8
23,5.3877766667,Sensor-8
24,5.4195150000,Sensor-8
