name,tags,x,y,z,bas_demand
Junction-1799,,"355955.282043911574874","398012.338028253638186","68.319999999999993","0.120838"
Junction-50729,,"354409.465107613126747","396770.353280404349789","23.284998000000002","0.352798"
Junction-14702,,"355137.524107061559334","396886.255280176294036","22.440000000000001","0.033960"
Junction-27485,,"356125.141106240567751","399050.910276501032058","32.409999999999997","0.036049"
Junction-14239,,"354002.145107888034545","397369.304279419884551","12.778333000000000","0.000000"
Junction-456186,,"356647.749124996305909","398370.963812500238419","60.060184000000000","0.000000"
Junction-36552,,"355579.674606688146014","398075.823590661515482","42.456665000000001","0.017914"
Junction-393,,"354119.095107797184028","397359.896279431763105","14.738001000000001","0.000000"
Junction-15040,,"355555.467106689000502","398394.333277628407814","36.556666999999997","0.048297"
Junction-473767,,"353917.515000000596046","396470.379000000655651","26.405280000000001","0.000000"
Junction-37296,,"356308.539106111798901","398768.998276970291045","41.820000000000000","0.000000"
Junction-456557,,"353349.310249999165535","397277.539749998599291","12.055109000000000","0.000000"
Junction-2115,,"356174.081106203375384","399029.812276537355501","35.585000000000001","0.000000"
Junction-26929,,"355691.247106588736642","398412.621277588477824","40.010002000000000","0.023326"
Junction-475006,,"356592.141000002622604","397344.975999999791384","96.805000000000007","0.000000"
Junction-475320,,"356922.287000000476837","397447.692000001668930","71.266000000000005","0.000000"
Junction-475130,,"356880.406999997794628","397551.719999998807907","69.890000000000001","0.048843"
Junction-55536,,"353389.922108336002566","397392.961279409646522","12.800874000000000","0.241360"
Junction-50748,,"354503.034232475736644","398240.053777934634127","43.601999999999997","0.000000"
Junction-44343,,"354819.953857240616344","398228.735027939022984","42.039999999999999","0.084093"
Junction-468775,,"355246.748999997973442","397010.675999999046326","27.760000000000002","0.088194"
Junction-37628,,"356629.766105937946122","397430.736279201169964","97.519069999999999","0.108242"
Junction-466,,"354345.796795097878203","398065.375090730725788","25.172499999999999","0.000000"
Junction-14701,,"355126.721107073302846","396892.929280170938000","22.247499999999999","0.078459"
Junction-59068,,"355172.754107046523131","396731.893280438147485","24.771999999999998","0.015603"
Junction-1162,,"355492.023794246895704","398067.961403181951027","40.034840000000003","0.000000"
Junction-474938,,"353628.534999996423721","395715.488000001758337","37.890476000000000","0.000000"
Junction-472575,,"355232.413999997079372","398259.859000001102686","28.010000000000002","0.000000"
Junction-15240,,"355652.540106626634952","398155.663278027437627","47.649999999999999","0.000000"
Junction-26328,,"354716.088107367861085","397085.723279865807854","24.463999000000001","0.050956"
Junction-26225,,"354398.746482551679946","398301.737402834813111","42.847504000000001","0.000000"
Junction-729,,"354939.214107205742039","397063.379279891960323","21.303331000000000","0.018009"
Junction-15395,,"355846.376106474490371","398414.719277582305949","43.930000000000000","0.032314"
Junction-478,,"354397.876545050647110","398302.674027838860638","42.723329999999997","0.000000"
Junction-455964,,"355628.384000003337860","396872.500000000000000","24.843332000000000","0.000000"
Junction-27706,,"356420.640106056001969","398229.676277865015436","87.604996000000000","0.043993"
Junction-26249,,"354513.150107521214522","396999.033280017320067","20.125715000000000","0.411824"
Junction-455155,,"356648.149562500475440","398371.598000001162291","60.010933000000001","0.000000"
Junction-472569,,"355803.937567405926529","397058.558034773566760","33.840000000000003","0.000000"
Junction-591520,,"356427.655897864489816","397004.592900675081182","68.312500000000000","0.000000"
Junction-1531,,"355772.068294040043838","398076.478153155068867","50.189999999999998","0.000000"
Junction-2110,,"356153.584106218069792","399003.098276578588411","35.163333999999999","0.043328"
Junction-26050,,"353344.415108375891577","397280.569279601273593","11.969420000000000","0.000000"
Junction-397,,"354182.974107751506381","397346.757279447105248","15.690000000000000","0.000000"
Junction-519836,,"352994.701999999640975","397538.732999999076128","8.227297999999999","0.197873"
Junction-14241,,"353978.620107896218542","397454.624279283045325","11.968750000000000","0.000000"
