,value
0,115.25032430379372
1,113.70071631990162
2,106.99699255222933
3,105.79244705017186
4,107.25985064180895
5,108.47594391250327
6,112.45092309901086
7,119.63446020183629
8,119.99545445325047
9,120.88940230204152
10,121.24296933787411
11,128.6135035405094
12,126.35724052192506
13,124.34370577542427
14,123.88119321577699
15,124.45737294708485
16,129.91396490305578
17,129.96484939892213
18,134.5528866753798
19,137.3110413006838
20,137.87608480491448
21,132.60807373600807
22,126.99919606311087
23,118.70318435693137
