hour,pressure_avg,sensor
15,6.6491700000,Sensor-1
16,6.7431640000,Sensor-1
0,7.9341631667,Sensor-2
1,7.9353843333,Sensor-2
2,7.9663086667,Sensor-2
3,7.9239910000,Sensor-2
4,7.9935710000,Sensor-2
5,7.9838053333,Sensor-2
6,7.8967288333,Sensor-2
7,7.7502441667,Sensor-2
8,7.8812665000,Sensor-2
9,7.8519693333,Sensor-2
10,7.9374186667,Sensor-2
11,7.9890951667,Sensor-2
12,7.8942871667,Sensor-2
13,7.8930665000,Sensor-2
14,7.8413900000,Sensor-2
15,7.9593911667,Sensor-2
16,7.9569498333,Sensor-2
17,7.8942871667,Sensor-2
18,7.8015136667,Sensor-2
19,7.7868651667,Sensor-2
20,7.7685546667,Sensor-2
21,7.8214518333,Sensor-2
22,7.8959146667,Sensor-2
23,7.9951983333,Sensor-2
0,7.2029623333,Sensor-3
1,7.2302246667,Sensor-3
2,7.1744793333,Sensor-3
3,7.2049966667,Sensor-3
4,7.2086586667,Sensor-3
5,7.1398925000,Sensor-3
6,7.0849610000,Sensor-3
7,7.0646160000,Sensor-3
8,7.0674643333,Sensor-3
9,7.1272786667,Sensor-3
10,7.2391763333,Sensor-3
11,7.0996095000,Sensor-3
12,7.2180176667,Sensor-3
13,7.0967613333,Sensor-3
14,7.0894366667,Sensor-3
15,7.1789550000,Sensor-3
16,7.0874023333,Sensor-3
17,7.0821125000,Sensor-3
18,7.0137531667,Sensor-3
19,7.0186363333,Sensor-3
20,7.0414226667,Sensor-3
21,7.0056153333,Sensor-3
22,7.1423341667,Sensor-3
23,7.2176108333,Sensor-3
0,7.4060058333,Sensor-4
1,7.4621581667,Sensor-4
2,7.4259441667,Sensor-4
3,7.4043783333,Sensor-4
4,7.4682617143,Sensor-4
5,7.3710125000,Sensor-4
6,7.2892250000,Sensor-4
7,7.2908530000,Sensor-4
8,7.3193358333,Sensor-4
9,7.3636883333,Sensor-4
10,7.4491375000,Sensor-4
11,7.3604328333,Sensor-4
12,7.4438476667,Sensor-4
13,7.4239095000,Sensor-4
14,7.3608398333,Sensor-4
15,7.4385578333,Sensor-4
16,7.3763020000,Sensor-4
17,7.2660320000,Sensor-4
18,7.3433431667,Sensor-4
19,7.2790526667,Sensor-4
20,7.2428386667,Sensor-4
21,7.2937010000,Sensor-4
22,7.3327635000,Sensor-4
23,7.3966471667,Sensor-4
0,6.6035968333,Sensor-5
1,6.5677896667,Sensor-5
2,6.5401205000,Sensor-5
3,6.5791830000,Sensor-5
4,6.5804038333,Sensor-5
5,6.5718586667,Sensor-5
6,6.4249676667,Sensor-5
7,6.4660645000,Sensor-5
8,6.4721680000,Sensor-5
9,6.4172363333,Sensor-5
10,6.5596516667,Sensor-5
11,6.5645343333,Sensor-5
12,6.5808106667,Sensor-5
13,6.4729818333,Sensor-5
14,6.5136718333,Sensor-5
15,6.4103190000,Sensor-5
16,6.5091960000,Sensor-5
17,6.4339191667,Sensor-5
18,6.4412435000,Sensor-5
19,6.4868165000,Sensor-5
20,6.5840656667,Sensor-5
21,6.4412436667,Sensor-5
22,6.5059406667,Sensor-5
23,6.5873208333,Sensor-5
0,6.5108589481090515,Sensor-6
1,6.533714363999067,Sensor-6
2,6.491142347019068,Sensor-6
3,6.483385217296093,Sensor-6
4,6.512979534835994,Sensor-6
5,6.479425588041337,Sensor-6
6,6.342934684676135,Sensor-6
7,6.230404116008274,Sensor-6
8,6.329765377537938,Sensor-6
9,6.428110917994582,Sensor-6
10,6.478350547824883,Sensor-6
11,6.445783858740588,Sensor-6
12,6.446631956810441,Sensor-6
13,6.413901631981985,Sensor-6
14,6.429079191230341,Sensor-6
15,6.4624594564013345,Sensor-6
16,6.392788145417747,Sensor-6
17,6.271602320448787,Sensor-6
18,6.215222047755455,Sensor-6
19,6.143992588262302,Sensor-6
20,6.180131471074632,Sensor-6
21,6.2055416157058545,Sensor-6
22,6.335803301630745,Sensor-6
23,6.469936909998293,Sensor-6
0,6.7187500000,Sensor-7
1,6.6678871667,Sensor-7
2,6.6927081667,Sensor-7
3,6.6398111667,Sensor-7
4,6.7000323333,Sensor-7
5,6.6805015000,Sensor-7
6,6.5527341667,Sensor-7
7,6.3651531667,Sensor-7
8,6.4693196667,Sensor-7
9,6.5995281667,Sensor-7
10,6.7171223333,Sensor-7
11,6.5970870000,Sensor-7
12,6.5458170000,Sensor-7
13,6.6328938333,Sensor-7
14,6.6418456667,Sensor-7
15,6.6479491667,Sensor-7
16,6.5315753333,Sensor-7
17,6.3724770000,Sensor-7
18,6.3525391667,Sensor-7
19,6.2825521667,Sensor-7
20,6.3378908333,Sensor-7
21,6.3191731667,Sensor-7
22,6.4912923333,Sensor-7
23,6.6414388333,Sensor-7
0,6.0591635000,Sensor-8
1,6.0725910000,Sensor-8
2,6.0550943333,Sensor-8
3,6.0441081667,Sensor-8
4,6.0550945000,Sensor-8
5,6.0180665000,Sensor-8
6,6.0176595000,Sensor-8
7,6.0648600000,Sensor-8
8,6.0083006667,Sensor-8
9,6.0355631667,Sensor-8
10,6.0713705000,Sensor-8
11,6.0245768333,Sensor-8
12,6.0522460000,Sensor-8
13,6.1132813333,Sensor-8
14,6.0656740000,Sensor-8
15,6.0445150000,Sensor-8
16,5.9932455000,Sensor-8
17,6.0201010000,Sensor-8
18,6.0375976667,Sensor-8
19,5.9659831667,Sensor-8
20,6.0046386667,Sensor-8
21,6.0713706667,Sensor-8
22,6.0205078333,Sensor-8
23,6.0827636667,Sensor-8
