end,length,minorLoss,name,roughness,start,status,tags,diameter,year
Junction-456152,"43.310000000000002","0.000000000000000",Pipe-520972,"1.000000000000000",Junction-456147,OPEN,steel,"70.300","2008"
Junction-26403,"0.910000000000000","0.000000000000000",Pipe-15505,"1.000000000000000",Junction-14563,OPEN,steel,"54.500","1984"
Junction-456944,"75.159999999999997","0.000000000000000",Pipe-15327,"1.000000000000000",Junction-14266,OPEN,steel,"54.500","2006"
Junction-36978,"13.130000000000001","0.000000000000000",Pipe-16150,"1.000000000000000",Junction-27252,OPEN,steel,"37.200","1980"
Junction-455314,"0.740000000000000","0.000000000000000",Pipe-535038,"1.000000000000000",Junction-466653,OPEN,steel,"54.500","2008"
Junction-1155,"8.100000000000000","0.000000000000000",Pipe-623,"1.000000000000000",Junction-1154,OPEN,steel,"28.500","1999"
Junction-472780,"55.490000000000002","0.000000000000000",Pipe-546004,"1.000000000000000",Junction-474130,OPEN,steel,"132.500","2020"
Junction-14632,"66.109999999999999","0.000000000000000",Pipe-23179,"1.000000000000000",Junction-36316,OPEN,steel,"107.100","1975"
Junction-15632,"1.420000000000000","0.000000000000000",Pipe-16139,"1.000000000000000",Junction-27239,OPEN,steel,"37.200","1999"
Junction-475023,"0.880000000000000","0.000000000000000",Pipe-547329,"1.000000000000000",Junction-475022,OPEN,steel,"70.300","2023"
Junction-14183,"66.120000000000005","0.000000000000000",Pipe-7682,"1.000000000000000",Junction-285,OPEN,steel,"70.300","1994"
Junction-467029,"56.689999999999998","0.000000000000000",Pipe-535554,"1.000000000000000",Junction-467028,OPEN,steel,"43.100","2020"
Junction-15665,"41.570000000000000","0.000000000000000",Pipe-987,"1.000000000000000",Junction-27271,OPEN,steel,"37.200","1975"
Junction-15050,"2.020000000000000","0.000000000000000",Pipe-46429,"1.000000000000000",Junction-55763,OPEN,steel,"37.200","1980"
Junction-26916,"7.800000000000000","0.000000000000000",Pipe-15894,"1.000000000000000",Junction-1338,OPEN,steel,"70.300","1999"
Junction-866,"8.500000000000000","0.000000000000000",Pipe-470,"1.000000000000000",Junction-865,OPEN,steel,"28.500","2005"
Junction-455507,"32.960000000000001","0.000000000000000",Pipe-520609,"1.000000000000000",Junction-455834,OPEN,steel,"43.100","2008"
Junction-26928,"0.240000000000000","0.000000000000000",Pipe-46540,"1.000000000000000",Junction-51086,OPEN,steel,"54.500","1980"
Junction-470561,"9.920000000000000","0.000000000000000",Pipe-540942,"1.000000000000000",Junction-88,OPEN,steel,"107.100","2018"
Junction-455357,"59.039999999999999","0.000000000000000",Pipe-520044,"1.000000000000000",Junction-26003,OPEN,steel,"82.500","2008"
Junction-16181,"11.100000000000000","0.000000000000000",Pipe-8932,"1.000000000000000",Junction-2420,OPEN,steel,"54.500","1999"
Junction-26328,"6.670000000000000","0.000000000000000",Pipe-38475,"1.000000000000000",Junction-50768,OPEN,steel,"21.700","2005"
Junction-26376,"129.699999999999989","0.000000000000000",Pipe-15484,"1.000000000000000",Junction-26375,OPEN,steel,"82.500","2006"
Junction-16189,"14.119999999999999","0.000000000000000",Pipe-31834,"1.000000000000000",Junction-45268,OPEN,steel,"28.500","1975"
Junction-50811,"0.950000000000000","0.000000000000000",Pipe-366,"1.000000000000000",Junction-14563,OPEN,steel,"70.300","1984"
Junction-455343,"26.010000000000002","0.000000000000000",Pipe-17844,"1.000000000000000",Junction-29456,OPEN,steel,"37.200","2008"
Junction-26444,"28.960000000000001","0.000000000000000",Pipe-7947,"1.000000000000000",Junction-14600,OPEN,steel,"43.100","2005"
Junction-36301,"3.490000000000000","0.000000000000000",Pipe-38579,"1.000000000000000",Junction-36299,OPEN,steel,"43.100","1975"
Junction-457452,"31.170000000000002","0.000000000000000",Pipe-522638,"1.000000000000000",Junction-457451,OPEN,steel,"70.300","2007"
Junction-466653,"45.299999999999997","0.000000000000000",Pipe-520638,"1.000000000000000",Junction-15221,OPEN,steel,"54.500","2008"
Junction-44691,"1.150000000000000","0.000000000000000",Pipe-542063,"1.000000000000000",Junction-455317,OPEN,steel,"21.700","2008"
Junction-44236,"16.800000000000001","0.000000000000000",Pipe-22963,"1.000000000000000",Junction-26210,OPEN,steel,"70.300","2004"
Junction-44947,"161.050000000000011","0.000000000000000",Pipe-61308,"1.000000000000000",Junction-61163,OPEN,steel,"393.900","2003"
Junction-244,"44.990000000000002","0.000000000000000",Pipe-30508,"1.000000000000000",Junction-14138,OPEN,steel,"54.500","2001"
Junction-55940,"19.859999999999999","0.000000000000000",Pipe-46791,"1.000000000000000",Junction-36976,OPEN,steel,"43.100","1995"
Junction-1341,"11.400000000000000","0.000000000000000",Pipe-38984,"1.000000000000000",Junction-1340,OPEN,steel,"28.500","1999"
Junction-44683,"0.820000000000000","0.000000000000000",Pipe-542366,"1.000000000000000",Junction-471684,OPEN,steel,"37.200","2008"
Junction-470713,"17.430000000000000","0.000000000000000",Pipe-535682,"1.000000000000000",Junction-26748,OPEN,steel,"54.500","2017"
Junction-14287,"0.300000000000000","0.000000000000000",Pipe-7750,"1.000000000000000",Junction-414,OPEN,steel,"21.700","1991"
Junction-470827,"28.379999999999999","0.000000000000000",Pipe-541145,"1.000000000000000",Junction-470832,OPEN,steel,"107.100","2018"
Junction-880,"0.680000000000000","0.000000000000000",Pipe-23229,"1.000000000000000",Junction-26555,OPEN,steel,"160.300","1982"
Junction-455802,"90.450000000000003","0.000000000000000",Pipe-32289,"1.000000000000000",Junction-28372,OPEN,steel,"54.500","2006"
Junction-45248,"10.619999999999999","0.000000000000000",Pipe-31815,"1.000000000000000",Junction-27702,OPEN,steel,"28.500","2003"
Junction-1546,"0.140000000000000","0.000000000000000",Pipe-23630,"1.000000000000000",Junction-36799,OPEN,steel,"107.100","1980"
Junction-472712,"82.129999999999995","0.000000000000000",Pipe-544111,"1.000000000000000",Junction-472862,OPEN,steel,"70.300","2020"
Junction-530,"16.030000000000001","0.000000000000000",Pipe-290,"1.000000000000000",Junction-529,OPEN,steel,"37.200","1990"
Junction-50940,"10.190000000000000","0.000000000000000",Pipe-546810,"1.000000000000000",Junction-468581,OPEN,steel,"37.200","2008"
Junction-44301,"118.109999999999999","0.000000000000000",Pipe-30719,"1.000000000000000",Junction-44300,OPEN,steel,"82.500","2003"
Junction-17082,"43.270000000000003","0.000000000000000",Pipe-47740,"1.000000000000000",Junction-51877,OPEN,steel,"43.100","2002"
